COUNTY,Year,Mean_AQI,County_join,NUMBER OF HOSPITALIZATIONS,AGE-ADJUSTED HOSPITALIZATION RATE,NUMBER OF ED VISITS,AGE-ADJUSTED ED VISIT RATE
ALAMEDA,2020,57.16120218579235,Alameda,347.0,2.1,4282.0,25.8
ALAMEDA,2021,53.347945205479455,Alameda,384.0,2.4,3873.0,23.6
ALAMEDA,2022,49.945205479452056,Alameda,469.0,3.0,5209.0,32.8
ALAMEDA,2023,50.47397260273973,Alameda,534.0,3.4,6334.0,39.7
AMADOR,2020,38.45403899721448,Amador,,,103.0,31.2
AMADOR,2021,39.96986301369863,Amador,10.0,,95.0,33.7
AMADOR,2022,36.967032967032964,Amador,,,121.0,39.1
AMADOR,2023,36.666666666666664,Amador,12.0,4.0,216.0,66.6
BUTTE,2020,65.65573770491804,Butte,62.0,3.4,474.0,24.2
BUTTE,2021,60.87397260273973,Butte,60.0,3.0,443.0,21.3
BUTTE,2022,52.895890410958906,Butte,70.0,3.5,507.0,23.8
BUTTE,2023,51.47671232876712,Butte,52.0,2.4,550.0,24.8
CALAVERAS,2020,54.68956043956044,Calaveras,7.0,,111.0,30.4
CALAVERAS,2021,50.87637362637363,Calaveras,8.0,,120.0,38.0
CALAVERAS,2022,42.07967032967033,Calaveras,,,119.0,36.4
CALAVERAS,2023,41.47123287671233,Calaveras,9.0,,130.0,40.8
COLUSA,2020,55.4344262295082,Colusa,,,49.0,24.0
COLUSA,2021,57.013698630136986,Colusa,7.0,,61.0,27.5
COLUSA,2022,45.10468319559229,Colusa,7.0,,95.0,43.2
COLUSA,2023,52.54520547945206,Colusa,,,73.0,32.5
CONTRA COSTA,2020,54.177595628415304,Contra Costa,234.0,2.0,3040.0,27.5
CONTRA COSTA,2021,50.4,Contra Costa,231.0,2.0,2913.0,26.8
CONTRA COSTA,2022,50.89041095890411,Contra Costa,337.0,3.1,4254.0,40.0
CONTRA COSTA,2023,50.48219178082192,Contra Costa,335.0,3.0,5186.0,48.4
DEL NORTE,2020,43.32876712328767,Del Norte,,,104.0,40.6
DEL NORTE,2021,32.42724458204334,Del Norte,,,97.0,39.3
DEL NORTE,2022,29.898255813953487,Del Norte,11.0,,98.0,41.4
DEL NORTE,2023,35.8140243902439,Del Norte,7.0,,164.0,66.7
EL DORADO,2020,51.58469945355191,El Dorado,28.0,1.7,351.0,20.6
EL DORADO,2021,53.26027397260274,El Dorado,31.0,2.1,388.0,24.1
EL DORADO,2022,48.6958904109589,El Dorado,66.0,3.8,417.0,25.3
EL DORADO,2023,47.28493150684932,El Dorado,63.0,4.1,496.0,31.0
FRESNO,2020,87.16120218579235,Fresno,354.0,3.5,3504.0,34.0
FRESNO,2021,79.58904109589041,Fresno,388.0,3.8,3526.0,34.3
FRESNO,2022,75.96164383561644,Fresno,644.0,6.2,4726.0,45.4
FRESNO,2023,70.93972602739726,Fresno,525.0,5.0,4523.0,43.4
GLENN,2020,57.14010989010989,Glenn,,,55.0,19.5
GLENN,2021,47.778082191780825,Glenn,6.0,,80.0,28.5
GLENN,2022,43.99166666666667,Glenn,8.0,,90.0,31.9
GLENN,2023,43.65289256198347,Glenn,,,94.0,33.3
HUMBOLDT,2020,32.87158469945355,Humboldt,35.0,2.5,443.0,36.0
HUMBOLDT,2021,29.78904109589041,Humboldt,21.0,1.6,344.0,28.4
HUMBOLDT,2022,26.92054794520548,Humboldt,22.0,1.7,453.0,37.5
HUMBOLDT,2023,41.583561643835615,Humboldt,19.0,1.7,485.0,40.5
IMPERIAL,2020,65.09836065573771,Imperial,30.0,1.6,474.0,25.1
IMPERIAL,2021,67.62739726027397,Imperial,34.0,1.7,400.0,20.5
IMPERIAL,2022,76.95342465753424,Imperial,55.0,2.6,547.0,27.7
IMPERIAL,2023,72.47397260273972,Imperial,63.0,3.1,731.0,36.9
INYO,2020,78.4153005464481,Inyo,,,47.0,28.3
INYO,2021,72.98630136986301,Inyo,,,50.0,36.9
INYO,2022,75.68493150684931,Inyo,,,63.0,41.9
INYO,2023,72.7013698630137,Inyo,7.0,,78.0,51.4
KERN,2020,88.65300546448087,Kern,200.0,2.2,2532.0,27.7
KERN,2021,91.21917808219177,Kern,202.0,2.2,2442.0,26.4
KERN,2022,87.63287671232877,Kern,246.0,2.6,2671.0,28.6
KERN,2023,76.18356164383562,Kern,209.0,2.3,2963.0,31.9
KINGS,2020,77.89617486338798,Kings,23.0,1.7,426.0,27.1
KINGS,2021,72.32876712328768,Kings,46.0,2.9,528.0,33.1
KINGS,2022,72.8958904109589,Kings,44.0,2.8,587.0,36.7
KINGS,2023,62.15068493150685,Kings,55.0,3.3,601.0,36.9
LAKE,2020,32.68376068376068,Lake,16.0,2.7,269.0,46.8
LAKE,2021,33.193820224719104,Lake,8.0,,242.0,42.1
LAKE,2022,33.03030303030303,Lake,16.0,3.0,319.0,56.8
LAKE,2023,31.694214876033058,Lake,21.0,3.8,325.0,58.3
LOS ANGELES,2020,99.12295081967213,Los Angeles,2719.0,2.7,25920.0,26.2
LOS ANGELES,2021,88.78356164383561,Los Angeles,2890.0,3.1,24790.0,25.7
LOS ANGELES,2022,85.6027397260274,Los Angeles,4130.0,4.5,33234.0,35.2
LOS ANGELES,2023,83.21917808219177,Los Angeles,4323.0,4.6,36845.0,39.0
MADERA,2020,71.51092896174863,Madera,36.0,2.3,475.0,30.8
MADERA,2021,65.59452054794521,Madera,33.0,2.1,471.0,30.6
MADERA,2022,59.06849315068493,Madera,51.0,3.3,675.0,43.2
MADERA,2023,55.56712328767123,Madera,61.0,3.9,564.0,35.9
MARIN,2020,42.330601092896174,Marin,24.0,1.1,280.0,11.7
MARIN,2021,40.81095890410959,Marin,21.0,0.8,305.0,13.9
MARIN,2022,39.47945205479452,Marin,44.0,2.2,379.0,17.4
MARIN,2023,36.06060606060606,Marin,48.0,2.8,511.0,25.1
MARIPOSA,2020,70.85519125683061,Mariposa,,,31.0,22.8
MARIPOSA,2021,60.323287671232876,Mariposa,,,26.0,17.0
MARIPOSA,2022,60.47397260273973,Mariposa,,,28.0,21.5
MARIPOSA,2023,55.175342465753424,Mariposa,,,60.0,46.6
MENDOCINO,2020,52.10109289617486,Mendocino,10.0,,315.0,39.8
MENDOCINO,2021,49.42191780821918,Mendocino,,,268.0,34.1
MENDOCINO,2022,53.54794520547945,Mendocino,18.0,2.3,418.0,53.1
MENDOCINO,2023,53.6986301369863,Mendocino,14.0,1.9,382.0,48.5
MERCED,2020,64.08196721311475,Merced,59.0,2.1,1034.0,37.1
MERCED,2021,62.41917808219178,Merced,64.0,2.3,1050.0,36.7
MERCED,2022,59.25753424657534,Merced,107.0,3.7,1375.0,47.4
MERCED,2023,56.4986301369863,Merced,84.0,3.0,1443.0,50.5
MONO,2020,113.52732240437159,Mono,9.0,,40.0,33.3
MONO,2021,50.2967032967033,Mono,,,36.0,27.1
MONO,2022,119.53150684931506,Mono,,,41.0,33.7
MONO,2023,39.02191780821918,Mono,,,32.0,26.5
MONTEREY,2020,47.549180327868854,Monterey,84.0,1.9,917.0,21.3
MONTEREY,2021,43.11232876712329,Monterey,106.0,2.4,969.0,22.2
MONTEREY,2022,40.4027397260274,Monterey,186.0,4.3,1345.0,31.3
MONTEREY,2023,43.487671232876714,Monterey,165.0,3.8,1453.0,33.5
NAPA,2020,46.797260273972604,Napa,13.0,0.9,322.0,22.7
NAPA,2021,42.68571428571428,Napa,11.0,,201.0,15.3
NEVADA,2020,56.797814207650276,Nevada,14.0,1.9,174.0,21.6
NEVADA,2021,64.18356164383562,Nevada,9.0,,168.0,21.2
NEVADA,2022,59.11232876712329,Nevada,22.0,3.3,152.0,19.8
NEVADA,2023,40.84022038567493,Nevada,20.0,2.8,229.0,30.1
ORANGE,2020,65.03825136612022,Orange,547.0,1.7,4870.0,15.9
ORANGE,2021,59.50410958904109,Orange,587.0,1.9,4791.0,15.9
ORANGE,2022,54.54246575342466,Orange,803.0,2.7,6726.0,22.9
ORANGE,2023,54.221917808219175,Orange,854.0,2.8,7594.0,25.8
PLACER,2020,68.14754098360656,Placer,46.0,1.1,623.0,16.7
PLACER,2021,73.32602739726028,Placer,70.0,2.1,735.0,21.0
PLACER,2022,63.087671232876716,Placer,98.0,2.9,852.0,24.4
PLACER,2023,56.68767123287671,Placer,137.0,4.3,1022.0,29.2
PLUMAS,2020,73.24444444444444,Plumas,,,57.0,42.2
PLUMAS,2021,89.53150684931506,Plumas,,,39.0,26.2
PLUMAS,2022,58.278551532033426,Plumas,,,49.0,28.5
PLUMAS,2023,50.0958904109589,Plumas,,,50.0,31.9
RIVERSIDE,2020,98.12021857923497,Riverside,476.0,2.0,5888.0,24.9
RIVERSIDE,2021,96.43013698630136,Riverside,571.0,2.4,6081.0,25.9
RIVERSIDE,2022,103.66849315068494,Riverside,854.0,3.7,8262.0,34.9
RIVERSIDE,2023,93.56986301369864,Riverside,892.0,3.8,8705.0,36.4
SACRAMENTO,2020,65.0846994535519,Sacramento,416.0,2.7,5489.0,35.7
SACRAMENTO,2021,64.11780821917809,Sacramento,493.0,3.3,5019.0,33.0
SACRAMENTO,2022,59.895890410958906,Sacramento,717.0,4.8,6090.0,40.5
SACRAMENTO,2023,55.66027397260274,Sacramento,783.0,5.2,7205.0,47.5
SAN BENITO,2020,47.92896174863388,San Benito,6.0,,219.0,36.5
SAN BENITO,2021,43.52876712328767,San Benito,9.0,,145.0,26.2
SAN BENITO,2022,43.68493150684932,San Benito,19.0,3.3,222.0,37.4
SAN BENITO,2023,42.06301369863014,San Benito,24.0,4.5,265.0,46.4
SAN BERNARDINO,2020,107.69125683060109,San Bernardino,482.0,2.2,6763.0,31.1
SAN BERNARDINO,2021,102.78630136986301,San Bernardino,571.0,2.6,6574.0,30.4
SAN BERNARDINO,2022,96.02739726027397,San Bernardino,923.0,4.3,8405.0,38.5
SAN BERNARDINO,2023,89.87945205479453,San Bernardino,942.0,4.3,9179.0,41.9
SAN DIEGO,2020,78.15300546448087,San Diego,701.0,2.1,5749.0,17.5
SAN DIEGO,2021,68.25753424657535,San Diego,861.0,2.6,5721.0,17.6
SAN DIEGO,2022,68.58356164383562,San Diego,1427.0,4.5,8257.0,25.9
SAN DIEGO,2023,71.0,San Diego,1549.0,4.9,8896.0,27.9
SAN FRANCISCO,2020,47.44535519125683,San Francisco,186.0,2.1,1437.0,16.6
SAN FRANCISCO,2021,41.64931506849315,San Francisco,233.0,3.0,1391.0,16.9
SAN FRANCISCO,2022,39.027472527472526,San Francisco,252.0,3.6,1756.0,23.6
SAN FRANCISCO,2023,36.035616438356165,San Francisco,342.0,4.5,2271.0,29.4
SAN JOAQUIN,2020,62.467213114754095,San Joaquin,196.0,2.5,2945.0,38.6
SAN JOAQUIN,2021,58.92328767123288,San Joaquin,206.0,2.7,2717.0,36.0
SAN JOAQUIN,2022,54.49589041095891,San Joaquin,297.0,4.0,3596.0,47.4
SAN JOAQUIN,2023,51.465753424657535,San Joaquin,263.0,3.4,4220.0,54.9
SAN LUIS OBISPO,2020,60.31693989071038,San Luis Obispo,36.0,1.6,432.0,18.3
SAN LUIS OBISPO,2021,55.463013698630135,San Luis Obispo,30.0,1.3,411.0,16.9
SAN LUIS OBISPO,2022,56.635616438356166,San Luis Obispo,43.0,2.0,549.0,23.3
SAN LUIS OBISPO,2023,52.172602739726024,San Luis Obispo,55.0,2.6,632.0,26.7
SAN MATEO,2020,44.9344262295082,San Mateo,102.0,1.3,1082.0,14.0
SAN MATEO,2021,38.92054794520548,San Mateo,90.0,1.2,926.0,12.7
SAN MATEO,2022,39.46849315068493,San Mateo,148.0,2.2,1446.0,20.6
SAN MATEO,2023,30.258953168044076,San Mateo,189.0,2.8,1814.0,25.8
SANTA BARBARA,2020,51.724043715846996,Santa Barbara,64.0,1.4,680.0,15.5
SANTA BARBARA,2021,46.66575342465753,Santa Barbara,60.0,1.4,674.0,15.3
SANTA BARBARA,2022,48.583561643835615,Santa Barbara,71.0,1.6,868.0,19.8
SANTA BARBARA,2023,47.37808219178082,Santa Barbara,68.0,1.5,949.0,21.6
SANTA CLARA,2020,55.967213114754095,Santa Clara,294.0,1.4,2814.0,14.5
SANTA CLARA,2021,53.80821917808219,Santa Clara,325.0,1.7,2666.0,14.0
SANTA CLARA,2022,51.295890410958904,Santa Clara,558.0,3.0,3976.0,21.2
SANTA CLARA,2023,46.56986301369863,Santa Clara,627.0,3.4,4664.0,24.8
SHASTA,2020,46.84699453551912,Shasta,25.0,1.5,402.0,24.8
SHASTA,2021,59.04383561643836,Shasta,36.0,2.1,409.0,25.8
SHASTA,2022,49.556164383561644,Shasta,44.0,2.7,414.0,25.5
SHASTA,2023,52.23835616438356,Shasta,49.0,3.1,515.0,32.1
SISKIYOU,2020,48.677595628415304,Siskiyou,7.0,,86.0,24.8
SISKIYOU,2021,54.964285714285715,Siskiyou,,,76.0,21.4
SISKIYOU,2022,44.58839779005525,Siskiyou,,,98.0,27.7
SISKIYOU,2023,49.85753424657534,Siskiyou,6.0,,130.0,33.7
SOLANO,2020,53.81967213114754,Solano,76.0,1.6,1770.0,41.7
SOLANO,2021,47.64931506849315,Solano,105.0,2.5,1709.0,40.7
SOLANO,2022,45.92602739726028,Solano,108.0,2.7,2238.0,53.7
SOLANO,2023,42.97260273972603,Solano,108.0,2.6,2709.0,64.8
SONOMA,2020,41.35792349726776,Sonoma,63.0,1.3,884.0,18.8
SONOMA,2021,38.64931506849315,Sonoma,43.0,0.9,674.0,14.8
SONOMA,2022,37.4986301369863,Sonoma,78.0,1.8,1143.0,26.6
SONOMA,2023,35.07123287671233,Sonoma,141.0,3.3,1417.0,32.5
STANISLAUS,2020,66.29234972677595,Stanislaus,136.0,2.5,1804.0,32.8
STANISLAUS,2021,69.23013698630137,Stanislaus,151.0,2.8,1772.0,32.0
STANISLAUS,2022,63.6986301369863,Stanislaus,232.0,4.2,2138.0,38.6
STANISLAUS,2023,58.69315068493151,Stanislaus,205.0,3.7,2379.0,42.9
SUTTER,2020,61.27049180327869,Sutter,29.0,2.7,183.0,18.8
SUTTER,2021,62.09065934065934,Sutter,24.0,2.5,215.0,22.7
SUTTER,2022,56.30494505494506,Sutter,37.0,3.8,255.0,26.3
SUTTER,2023,50.20661157024794,Sutter,31.0,3.1,265.0,27.9
TEHAMA,2020,56.83879781420765,Tehama,10.0,,173.0,28.0
TEHAMA,2021,58.26027397260274,Tehama,12.0,2.0,189.0,31.9
TEHAMA,2022,48.47945205479452,Tehama,14.0,2.4,200.0,35.1
TEHAMA,2023,47.202739726027396,Tehama,16.0,2.6,232.0,40.4
TRINITY,2020,42.82798833819242,Trinity,0.0,0.0,27.0,28.5
TRINITY,2021,80.8140243902439,Trinity,,,33.0,33.2
TRINITY,2022,42.98583569405099,Trinity,0.0,0.0,39.0,32.8
TRINITY,2023,38.09003215434084,Trinity,,,43.0,39.4
TULARE,2020,89.29234972677595,Tulare,77.0,1.5,1135.0,23.8
TULARE,2021,92.8054794520548,Tulare,121.0,2.4,1281.0,26.3
TULARE,2022,82.92876712328767,Tulare,182.0,3.6,1528.0,30.8
TULARE,2023,76.67945205479452,Tulare,153.0,3.1,1573.0,31.8
TUOLUMNE,2020,44.373937677053824,Tuolumne,12.0,2.4,129.0,28.6
TUOLUMNE,2021,41.608333333333334,Tuolumne,9.0,,104.0,24.5
TUOLUMNE,2022,39.276,Tuolumne,13.0,2.5,121.0,28.4
TUOLUMNE,2023,44.08620689655172,Tuolumne,16.0,4.0,218.0,51.8
VENTURA,2020,56.89890710382514,Ventura,137.0,1.5,1394.0,17.4
VENTURA,2021,55.345205479452055,Ventura,146.0,1.8,1315.0,16.7
VENTURA,2022,55.47123287671233,Ventura,188.0,2.4,1959.0,25.1
VENTURA,2023,52.104109589041094,Ventura,194.0,2.4,2117.0,26.8
YOLO,2020,54.69945355191257,Yolo,15.0,0.8,456.0,22.8
YOLO,2021,47.394520547945206,Yolo,48.0,2.6,438.0,21.6
YOLO,2022,44.06575342465754,Yolo,61.0,3.1,557.0,27.5
YOLO,2023,46.61643835616438,Yolo,54.0,2.9,719.0,35.3
